"Subnum","ChoiceSet","PropOptimal","RT"
1,"AB",0.13,3292.36
1,"CD",0.8,1673.88
1,"CA",0.88,4328.68
1,"CB",0.68,3409.96
1,"AD",0.36,1877.16
1,"BD",0.68,4112.72
2,"AB",0.53,1248.1
2,"CD",0.38,2800.64
2,"CA",0.84,1099.16
2,"CB",0.8,1081.56
2,"AD",0.24,1408.08
2,"BD",0.12,1184.08
3,"AB",0.23,1108.12
3,"CD",0.22,1661.86
3,"CA",1,1011.8
3,"CB",0.96,1303.76
3,"AD",0,958.92
3,"BD",0,1399.88
4,"AB",0.73,991.2
4,"CD",0.8,1035.64
4,"CA",0.96,774.88
4,"CB",0.96,987.24
4,"AD",1,1125.48
4,"BD",0.76,1073.28
5,"AB",0.61,875.1
5,"CD",0.68,845.52
5,"CA",0.56,775.96
5,"CB",0.48,784.36
5,"AD",0.52,622.56
5,"BD",0.68,744.72
6,"AB",0.666666666666667,942.84
6,"CD",0.56,1016.29333333333
6,"CA",0.04,861.76
6,"CB",0.16,1085
6,"AD",0.88,705.64
6,"BD",0.76,837.32
7,"AB",0.706666666666667,978.266666666667
7,"CD",0.68,1025.89333333333
7,"CA",0.68,924.56
7,"CB",0.64,861.12
7,"AD",0.44,954.84
7,"BD",0.6,1098.32
8,"AB",0.86,1404.07
8,"CD",0.7,1150.62
8,"CA",0.76,2587.52
8,"CB",0.68,2261.4
8,"AD",1,1670
8,"BD",1,1577.8
9,"AB",0.746666666666667,1246.48
9,"CD",0.706666666666667,1097.74666666667
9,"CA",0.72,1328.68
9,"CB",0.88,1483.52
9,"AD",0.76,2610.6
9,"BD",0.92,1290.64
10,"AB",0.826666666666667,1213.05333333333
10,"CD",0.733333333333333,1377.45333333333
10,"CA",0.92,1887.44
10,"CB",1,1440.56
10,"AD",0.92,1807.4
10,"BD",0,1384.12
11,"AB",0.6,849.95
11,"CD",0.62,1045.8
11,"CA",0.56,1011.6
11,"CB",0.96,1350.48
11,"AD",0.8,1014.4
11,"BD",0.52,1162.48
12,"AB",0.746666666666667,890.026666666667
12,"CD",0.666666666666667,1062.46666666667
12,"CA",0.32,1146.36
12,"CB",1,953.8
12,"AD",0.68,867.28
12,"BD",0.12,1192.72
13,"AB",0.71,992.04
13,"CD",0.24,951.88
13,"CA",0.36,1747.76
13,"CB",0.48,1361.16
13,"AD",0.28,1646.24
13,"BD",0.24,1371.72
14,"AB",0.42,1204.44
14,"CD",0.34,1123.48
14,"CA",0.28,1685.08
14,"CB",0.12,1111.84
14,"AD",0.36,1210.28
14,"BD",0.72,1087.72
15,"AB",0.2,1041.2
15,"CD",0.48,1134.34
15,"CA",0.92,1306.12
15,"CB",0,913.72
15,"AD",0,994.2
15,"BD",1,771.88
16,"AB",0.19,1140.59
16,"CD",0.78,1379.26
16,"CA",0.96,4051.76
16,"CB",0.72,938
16,"AD",0.12,1402.96
16,"BD",0.4,1104.92
17,"AB",0.92,1021.82666666667
17,"CD",0.933333333333333,1025.26666666667
17,"CA",0.72,1291.48
17,"CB",1,1042.68
17,"AD",0.88,1044.4
17,"BD",0,1397.6
18,"AB",0.4,1134.57
18,"CD",0.36,1159.68
18,"CA",0,1459.32
18,"CB",0.04,1873.2
18,"AD",0.96,1464.6
18,"BD",0.84,1589.32
19,"AB",0.37,1499.67
19,"CD",0.74,1338.92
19,"CA",0.52,987.08
19,"CB",0.4,1262.44
19,"AD",0.48,1204.88
19,"BD",0.6,1238.32
20,"AB",0.73,1404.87
20,"CD",0.9,1401.28
20,"CA",0,1371.8
20,"CB",0.88,1563.2
20,"AD",1,1107.04
20,"BD",1,1564.48
21,"AB",0.64,2024.15
21,"CD",0.58,2342.76
21,"CA",0,1411.28
21,"CB",1,1305.16
21,"AD",1,1178.4
21,"BD",0,1291.92
22,"AB",0.47,1116.41
22,"CD",0.48,1255.1
22,"CA",0.04,1667.76
22,"CB",0,1468.44
22,"AD",0.2,1760.72
22,"BD",0.12,1463.92
23,"AB",0.43,1211.72
23,"CD",0.88,1292.72
23,"CA",0.12,2593.64
23,"CB",1,4639
23,"AD",0.88,3856.16
23,"BD",0.2,1642.72
24,"AB",0.47,1137.92
24,"CD",0.64,1500.58
24,"CA",0.48,5005.08
24,"CB",0.36,1748.12
24,"AD",0.76,2679.48
24,"BD",0.48,1382.48
25,"AB",0.746666666666667,1514.50666666667
25,"CD",0.786666666666667,1244.44
25,"CA",0.2,2959.2
25,"CB",1,1856.64
25,"AD",1,1747.8
25,"BD",0.4,3360.8
26,"AB",0.49,946.07
26,"CD",0.48,929.44
26,"CA",0.4,1058.52
26,"CB",0.56,1233.8
26,"AD",0.24,860.2
26,"BD",0.44,1719.76
27,"AB",0.97,1205.41
27,"CD",0.94,1346.8
27,"CA",0.08,1464.92
27,"CB",1,850.4
27,"AD",1,1034.88
27,"BD",0,1415.92
28,"AB",0.78,1169.75
28,"CD",0.8,1342.42
28,"CA",0.12,1622.12
28,"CB",1,1484.84
28,"AD",0.96,1016.08
28,"BD",0.24,2141.04
29,"AB",0.85,922.17
29,"CD",0.74,1041.12
29,"CA",0.56,926.2
29,"CB",0.72,1158.04
29,"AD",1,996.04
29,"BD",1,1183.6
30,"AB",0.626666666666667,1381.96
30,"CD",0.506666666666667,1158.97333333333
30,"CA",0.76,1236.48
30,"CB",0.32,1350.36
30,"AD",0.32,1439.16
30,"BD",0.76,1294.2
31,"AB",0.66,1461.07
31,"CD",0.68,1553.4
31,"CA",0.44,1292.8
31,"CB",0.76,1381.28
31,"AD",0.64,1458.84
31,"BD",0.64,1448.52
32,"AB",0.8,862.29
32,"CD",0.94,1041.92
32,"CA",0.04,1212.68
32,"CB",0.84,1348.68
32,"AD",1,879.12
32,"BD",1,1322.36
33,"AB",0.36,1057.31
33,"CD",0.44,1203.28
33,"CA",0.36,930.96
33,"CB",0.28,858.56
33,"AD",0.4,905.16
33,"BD",0.44,773.56
34,"AB",0.79,1055.11
34,"CD",0.72,1406.42
34,"CA",0.04,1651.6
34,"CB",0.92,1743.48
34,"AD",1,1430.64
34,"BD",0.88,2371.48
35,"AB",0.4,1659.04
35,"CD",0.626666666666667,1501.58666666667
35,"CA",0.4,1015.48
35,"CB",0.52,979.24
35,"AD",0.44,759.28
35,"BD",0.56,892.88
36,"AB",0.65,1190.84
36,"CD",0.56,1563.68
36,"CA",0.4,893.84
36,"CB",0.56,1784.28
36,"AD",0.72,936.48
36,"BD",0.68,1183.52
37,"AB",0.613333333333333,1052.16
37,"CD",0.453333333333333,1060.4
37,"CA",0.04,1547.04
37,"CB",1,1242.12
37,"AD",0.08,1561.92
37,"BD",0,1178.28
38,"AB",0.506666666666667,1074.50666666667
38,"CD",0.626666666666667,1079.65333333333
38,"CA",0.76,1087.44
38,"CB",0.76,1064.52
38,"AD",0.12,963.84
38,"BD",0.16,1276.4
39,"AB",0.893333333333333,1083.77333333333
39,"CD",0.933333333333333,1098.10666666667
39,"CA",1,781.44
39,"CB",1,635.88
39,"AD",1,1081.16
39,"BD",1,1068
40,"AB",0.46,1486.25
40,"CD",0.62,1544.22
40,"CA",0.96,1088.36
40,"CB",0.96,1323.68
40,"AD",0,713.4
40,"BD",0.08,1035.96
41,"AB",0.706666666666667,1123.64
41,"CD",0.573333333333333,1329.84
41,"CA",0.52,1639.76
41,"CB",0.52,1497.16
41,"AD",0.44,1248.88
41,"BD",0.6,1568.12
42,"AB",1,733.31
42,"CD",0,1704.98
42,"CA",0.2,714.6
42,"CB",0.24,838
42,"AD",0.68,873.72
42,"BD",0.68,921.84
43,"AB",0.83,1545.44
43,"CD",0.28,1967
43,"CA",0.48,3860.76
43,"CB",0.48,1944.24
43,"AD",0.32,2629.44
43,"BD",0.2,2052.08
44,"AB",0.946666666666667,1031.74666666667
44,"CD",0.946666666666667,1257.77333333333
44,"CA",1,2658.44
44,"CB",1,1362.96
44,"AD",1,2533.04
44,"BD",0,2868.32
45,"AB",0.68,1053.57
45,"CD",0.6,1194.12
45,"CA",0.04,840.8
45,"CB",0.76,1416.2
45,"AD",1,836.96
45,"BD",1,984.76
46,"AB",0.6,925.85
46,"CD",0.68,1242.5
46,"CA",0.08,718.32
46,"CB",0.08,815.2
46,"AD",0.92,647.16
46,"BD",0.92,695.52
47,"AB",0.853333333333333,1190.96
47,"CD",0.92,1058.12
47,"CA",0.04,1813.84
47,"CB",1,1839.2
47,"AD",1,1224.72
47,"BD",0.64,2120.72
48,"AB",0.786666666666667,941.946666666667
48,"CD",0.493333333333333,970.053333333333
48,"CA",0,846.8
48,"CB",0.08,930.36
48,"AD",0.88,688.16
48,"BD",0.92,1073.64
49,"AB",0.52,2084.78
49,"CD",0.48,3012
49,"CA",0.32,2074.96
49,"CB",0.6,2249.72
49,"AD",0.64,2299.96
49,"BD",0.72,2019.8
50,"AB",0.64,1114.37333333333
50,"CD",0.666666666666667,1096.24
50,"CA",0.36,763.36
50,"CB",0.52,1009.28
50,"AD",0.72,994
50,"BD",0.68,1182.64
51,"AB",0.7,755.06
51,"CD",0.78,843.2
51,"CA",0.52,868.08
51,"CB",0.84,939.6
51,"AD",0.92,777.44
51,"BD",0.88,1418.88
52,"AB",0.23,1031.57
52,"CD",0.2,1115.18
52,"CA",0.04,746.96
52,"CB",0.08,966.64
52,"AD",0.96,925.2
52,"BD",1,782.6
53,"AB",0.28,1167.28
53,"CD",0.32,1410.06
53,"CA",0.76,2257.96
53,"CB",0.76,3008.6
53,"AD",0.28,3501.52
53,"BD",0.12,2068.04
54,"AB",0.59,1918.94
54,"CD",0.78,2509.22
54,"CA",0.48,1510.04
54,"CB",0.32,986.96
54,"AD",0.72,1296
54,"BD",0.68,1125.72
55,"AB",0.45,3919.6
55,"CD",0.54,5291.06
55,"CA",0.8,1205.04
55,"CB",0.68,1729.2
55,"AD",0.64,1411.52
55,"BD",0.92,1730.2
56,"AB",0.44,721.86
56,"CD",0.6,926.28
56,"CA",0.2,725.6
56,"CB",0.56,727.6
56,"AD",0.52,662.28
56,"BD",0.4,697.8
57,"AB",0.36,3214.06
57,"CD",0.8,1479.7
57,"CA",0.92,1125.72
57,"CB",0.68,1445.52
57,"AD",0.64,1728.8
57,"BD",0.96,1784.4
58,"AB",0.9,942.96
58,"CD",0.8,1043.68
58,"CA",0.24,1079.8
58,"CB",0.64,1682.36
58,"AD",0.64,1331.12
58,"BD",0.48,1006.92
59,"AB",0.57,1794.12
59,"CD",0.72,2020.32
59,"CA",0.72,1792.28
59,"CB",1,2183.2
59,"AD",1,3690.12
59,"BD",0.24,1958.04
60,"AB",0.47,1549.23
60,"CD",0.64,1536.5
60,"CA",0.8,1425.24
60,"CB",0.84,1510.32
60,"AD",0.36,1788.88
60,"BD",0.52,1269.6
61,"AB",0.73,1033.86
61,"CD",0.72,1047.32
61,"CA",0.92,1678.16
61,"CB",1,1038.32
61,"AD",1,995.24
61,"BD",0.08,1691.88
62,"AB",0.42,1301.3
62,"CD",0.48,1206.3
62,"CA",0.52,1694.12
62,"CB",0.44,1374.04
62,"AD",0.52,3776.36
62,"BD",0.52,898.08
63,"AB",0.9,1561.1
63,"CD",0.96,1659.08
63,"CA",0.96,836.52
63,"CB",0.76,916.08
63,"AD",1,1266.72
63,"BD",1,1298.68
64,"AB",0.96,1011.86
64,"CD",0.92,1007.62
64,"CA",0.08,1179.6
64,"CB",1,1241.28
64,"AD",1,1357.28
64,"BD",0.04,1881.88
65,"AB",0.44,1081.10666666667
65,"CD",0.4,1128.02666666667
65,"CA",0.28,908.64
65,"CB",0.44,1017.48
65,"AD",0.64,901.64
65,"BD",0.4,919.72
66,"AB",0,800.66
66,"CD",1,1018.44
66,"CA",0.08,885.44
66,"CB",0,797.36
66,"AD",1,872.8
66,"BD",0.96,899.32
67,"AB",0.67,1015.36
67,"CD",0.58,1484.28
67,"CA",0.68,750.72
67,"CB",0.68,960.28
67,"AD",0.32,831.64
67,"BD",0.36,735.04
68,"AB",0.626666666666667,1507.21333333333
68,"CD",0.466666666666667,1670.77333333333
68,"CA",0.52,1192.32
68,"CB",0.52,1626.92
68,"AD",0.48,1399.36
68,"BD",0.44,1428.44
69,"AB",0.71,1307.6
69,"CD",0.58,1261.06
69,"CA",0.04,937.16
69,"CB",0.48,1331.84
69,"AD",1,912.4
69,"BD",0.44,1250.84
70,"AB",0.77,951.34
70,"CD",0.8,1133.18
70,"CA",0.92,909.8
70,"CB",1,1096.08
70,"AD",1,1081.56
70,"BD",0.88,1347
71,"AB",0.453333333333333,981.986666666667
71,"CD",0.626666666666667,983.72
71,"CA",0.44,1181.24
71,"CB",0.84,1017.68
71,"AD",0.76,1419.92
71,"BD",0.16,1494.24
72,"AB",0.59,1195.38
72,"CD",0.4,1341.76
72,"CA",0.08,1181.84
72,"CB",0.92,1599.08
72,"AD",0.92,1499.56
72,"BD",0.4,1918.32
73,"AB",0.84,1285.62
73,"CD",0.16,1293.38
73,"CA",0.04,925.08
73,"CB",1,1204.12
73,"AD",0.76,847.8
73,"BD",0,1005.4
74,"AB",0.21,1210.58
74,"CD",0.1,965.52
74,"CA",0.92,1061.56
74,"CB",0.12,1153.16
74,"AD",0.08,720.52
74,"BD",0.8,935.96
75,"AB",0.3,1405.92
75,"CD",0.68,1311.8
75,"CA",0,1649.6
75,"CB",1,2062.6
75,"AD",1,3246.8
75,"BD",0,1884.92
76,"AB",0.04,1723.81
76,"CD",0.06,1640.72
76,"CA",0.44,2276.24
76,"CB",0.12,899.2
76,"AD",0.4,1826.56
76,"BD",0.44,1611.68
77,"AB",0.533333333333333,862.226666666667
77,"CD",0.933333333333333,932.773333333333
77,"CA",0.96,1409.2
77,"CB",1,1233.28
77,"AD",1,1745.2
77,"BD",1,1425.8
78,"AB",0.75,3072.4
78,"CD",0.8,1447.42
78,"CA",0.76,1109.92
78,"CB",0.76,1349.68
78,"AD",0.24,1372.88
78,"BD",0.56,1574.72
79,"AB",0.64,2075.59
79,"CD",0.64,2786.12
79,"CA",0.92,1072.76
79,"CB",0.88,1615.04
79,"AD",1,1288.28
79,"BD",1,1225.64
80,"AB",1,1229.66666666667
80,"CD",0,1145.90666666667
80,"CA",0,1362.12
80,"CB",1,1640.48
80,"AD",1,1460.08
80,"BD",0,1178.04
81,"AB",0.68,1643.02
81,"CD",0.64,1478
81,"CA",0,1825.96
81,"CB",0.04,1065.08
81,"AD",0.88,1013.64
81,"BD",0.92,1871.36
82,"AB",0.573333333333333,1123.46666666667
82,"CD",0.786666666666667,1212.81333333333
82,"CA",0.52,940.52
82,"CB",0.64,1108.28
82,"AD",0.88,1083.88
82,"BD",0.64,1382.6
83,"AB",0.653333333333333,943.866666666667
83,"CD",0.666666666666667,1013.85333333333
83,"CA",0.4,1250.48
83,"CB",0.88,1361.08
83,"AD",0.84,1089.96
83,"BD",0.64,1549.16
84,"AB",0.68,1166.52
84,"CD",0.693333333333333,1259.89333333333
84,"CA",0.24,1170.6
84,"CB",0.28,1086.08
84,"AD",0.6,1265.36
84,"BD",0.84,1008.44
85,"AB",0.76,1454.1
85,"CD",0.86,1681.4
85,"CA",0.64,1267.2
85,"CB",1,1344.32
85,"AD",0.8,1452.4
85,"BD",0.24,1613.88
86,"AB",0.61,1842.7
86,"CD",0.5,2339.6
86,"CA",0.68,1271.6
86,"CB",0.48,1074.36
86,"AD",0.68,1290.2
86,"BD",0.36,1412.2
87,"AB",0.63,1331.49
87,"CD",0.36,1236.02
87,"CA",0.48,1327.36
87,"CB",0.76,1468.48
87,"AD",0.4,1257.64
87,"BD",0.36,1340.12
88,"AB",0.706666666666667,1267.30666666667
88,"CD",0.853333333333333,1139.56
88,"CA",0.8,1337.52
88,"CB",1,1104.2
88,"AD",0.68,1207.32
88,"BD",0,1182.56
89,"AB",0.53,1192.4
89,"CD",0.38,1819.6
89,"CA",0.28,1246.72
89,"CB",0.52,1535.84
89,"AD",0.52,1030.2
89,"BD",0.2,1432.68
90,"AB",0.62,1076.64
90,"CD",0.54,1165.06
90,"CA",0.2,856.76
90,"CB",0.72,1348.88
90,"AD",0.84,982.44
90,"BD",0.56,1270.6
91,"AB",0.65,810.07
91,"CD",0.52,930.4
91,"CA",0,1133.56
91,"CB",1,1078.36
91,"AD",1,1137.24
91,"BD",0,1563.64
92,"AB",0.64,872.08
92,"CD",0.84,1093.16
92,"CA",0.96,1436.84
92,"CB",1,1045.32
92,"AD",1,771.32
92,"BD",1,921.56
93,"AB",0.47,1160.17
93,"CD",0.56,1058.6
93,"CA",0.76,1485.24
93,"CB",0.92,921.92
93,"AD",0.8,1160.64
93,"BD",0.16,1164.36
94,"AB",0.63,1338.63
94,"CD",0.86,1384.26
94,"CA",0.08,1281.44
94,"CB",1,1386.8
94,"AD",1,1209.96
94,"BD",0,1687.96
95,"AB",0.7,1393.51
95,"CD",0.7,1685.58
95,"CA",0.96,1447.4
95,"CB",1,1759.56
95,"AD",1,1412.52
95,"BD",0.96,1722.4
96,"AB",0.58,1008.17
96,"CD",0.7,1231.82
96,"CA",0.88,1724.84
96,"CB",1,2980.2
96,"AD",0.44,1969.32
96,"BD",0.08,2198.92
97,"AB",0.7,951.89
97,"CD",0.3,1072.74
97,"CA",0,642.96
97,"CB",0.04,692.36
97,"AD",0.92,691.28
97,"BD",0.88,729.76
98,"AB",0.86,977.67
98,"CD",0.48,1311.4
98,"CA",0.08,1196.68
98,"CB",0.88,1474.16
98,"AD",1,1109.16
98,"BD",1,1375.52
99,"AB",0.27,1175.02
99,"CD",0.44,1449.74
99,"CA",1,1157.16
99,"CB",0.96,1172.96
99,"AD",0,1521.88
99,"BD",1,1360.8
100,"AB",0.75,1070.45
100,"CD",0.66,1332.7
100,"CA",0.04,1833.08
100,"CB",0.92,1879.28
100,"AD",1,1128
100,"BD",1,2172.64
101,"AB",0.53,2872.43
101,"CD",0.46,3670.06
101,"CA",0.88,1520.2
101,"CB",0.96,1578.4
101,"AD",0.92,1520.76
101,"BD",0.12,1729.16
102,"AB",0.57,1517.32
102,"CD",0.42,1588.18
102,"CA",0.2,2009.52
102,"CB",0.56,1652
102,"AD",0.48,2161.96
102,"BD",0.28,2003.28
103,"AB",0.853333333333333,850.32
103,"CD",0.466666666666667,1079.34666666667
103,"CA",0.96,809.08
103,"CB",1,950.28
103,"AD",0.08,803.6
103,"BD",0,807.76
104,"AB",0.666666666666667,1538.25333333333
104,"CD",0.546666666666667,1517.57333333333
104,"CA",0.44,1667.32
104,"CB",0.72,1471.48
104,"AD",1,1401.96
104,"BD",0.8,1427.12
105,"AB",0.7,1357.73
105,"CD",0.6,1451.38
105,"CA",0,752.92
105,"CB",0.96,1537.64
105,"AD",1,862.92
105,"BD",1,1370.52
106,"AB",0.35,849.49
106,"CD",0.68,1166.14
106,"CA",0.04,815.16
106,"CB",0.04,685.92
106,"AD",0.88,712.36
106,"BD",0.96,697
107,"AB",0.75,2173.11
107,"CD",0.66,2579.32
107,"CA",1,712.96
107,"CB",1,701.32
107,"AD",0.88,927.48
107,"BD",0.76,1073
108,"AB",0.76,1176.96
108,"CD",0.76,1261.62
108,"CA",0.84,1110.84
108,"CB",1,1340.84
108,"AD",0.32,1137.48
108,"BD",0,903.52
109,"AB",0.85,1093.37
109,"CD",0.76,1189.16
109,"CA",1,1201.72
109,"CB",1,1326.52
109,"AD",0.88,1387.28
109,"BD",0,1328.28
110,"AB",0.51,2471.76
110,"CD",0.74,2524.6
110,"CA",0.44,2231.04
110,"CB",0.36,1313.32
110,"AD",0.56,1882.8
110,"BD",0.84,2018.28
111,"AB",0.89,1048.26
111,"CD",0.92,1200.46
111,"CA",0.96,1984.08
111,"CB",1,1861.68
111,"AD",1,1859.8
111,"BD",1,2269.2
112,"AB",0.94,1073.03
112,"CD",0.86,1118.24
112,"CA",0.84,1382.48
112,"CB",1,1144.72
112,"AD",0.92,1382.24
112,"BD",0,1505.8
113,"AB",0.63,1334.18
113,"CD",0.32,1252.7
113,"CA",0.8,1175.08
113,"CB",0.4,1299.96
113,"AD",0.2,924.8
113,"BD",0.56,1162.4
114,"AB",0.11,1161.35
114,"CD",0.86,1047.98
114,"CA",0.72,913.44
114,"CB",0.56,734.16
114,"AD",0.56,1064.52
114,"BD",0.6,1085.32
115,"AB",0.43,1217.57
115,"CD",0.52,1406.5
115,"CA",0.88,1256.4
115,"CB",0.96,1179.52
115,"AD",0.92,1427.6
115,"BD",0.12,1528.08
116,"AB",0.84,993.72
116,"CD",0.9,1258.5
116,"CA",0.12,929.36
116,"CB",0.08,852.68
116,"AD",0.68,1052.24
116,"BD",0.76,849.16
117,"AB",0.613333333333333,2046.88
117,"CD",0.613333333333333,1839.24
117,"CA",0.12,1291.12
117,"CB",0.96,1395.72
117,"AD",0.84,1225.32
117,"BD",0.04,1174.92
118,"AB",0.57,1940.08
118,"CD",0.48,2332.38
118,"CA",0.44,2612.56
118,"CB",0.48,2823.16
118,"AD",0.52,2870.72
118,"BD",0.6,2680.96
119,"AB",0.293333333333333,993.706666666667
119,"CD",0.626666666666667,838.226666666667
119,"CA",0.8,865.96
119,"CB",0.6,928.12
119,"AD",0.36,1071.92
119,"BD",0.8,740.8
120,"AB",0.85,2319.71
120,"CD",0.32,2464.86
120,"CA",0.48,1125.72
120,"CB",0.84,1425.36
120,"AD",0.44,832.12
120,"BD",0.32,1115.12
121,"AB",0.21,1994.97
121,"CD",0.26,1533
121,"CA",0.36,925.28
121,"CB",0.08,641.12
121,"AD",0.56,992.4
121,"BD",0.76,634.68
122,"AB",0.55,2109.06
122,"CD",0.52,2630.48
122,"CA",0.6,11304.12
122,"CB",0.36,4449.68
122,"AD",0.52,2339.52
122,"BD",0.32,2697.04
123,"AB",0.1,809.7
123,"CD",0.92,983.34
123,"CA",0.2,1176.44
123,"CB",0.2,843.96
123,"AD",0.76,1163.68
123,"BD",0.84,1243.28
124,"AB",0.57,1897.46
124,"CD",0.46,2257.36
124,"CA",0.6,2062.88
124,"CB",0.64,2431.2
124,"AD",0.4,2257.24
124,"BD",0.52,2776.12
125,"AB",0.62,1311.37
125,"CD",0.56,1580.24
125,"CA",0.08,1593.16
125,"CB",0.2,1416.04
125,"AD",0.48,2004.56
125,"BD",0.56,1429.76
126,"AB",0.58,1846.84
126,"CD",0.9,1995.02
126,"CA",0.88,952.76
126,"CB",1,1008.32
126,"AD",0.16,953.72
126,"BD",0,1002.68
127,"AB",0.866666666666667,1295.56
127,"CD",0.92,1197
127,"CA",0,1902
127,"CB",1,1635.04
127,"AD",1,1503.04
127,"BD",1,1759.64
128,"AB",0.6,2556.62
128,"CD",0.6,1310.6
128,"CA",0.08,991.96
128,"CB",1,1311.16
128,"AD",1,844.24
128,"BD",0,1529.64
129,"AB",0.73,991.5
129,"CD",0.66,1424.28
129,"CA",0.36,893.52
129,"CB",0.76,905.88
129,"AD",0.72,865.68
129,"BD",0.48,1029.44
130,"AB",0.67,1000.27
130,"CD",0.78,1375.46
130,"CA",0.28,781.72
130,"CB",0.44,1029.04
130,"AD",0.88,797.36
130,"BD",0.6,1003.68
131,"AB",0.92,753.6
131,"CD",0.94,880.66
131,"CA",0.08,717.36
131,"CB",0.84,1279.72
131,"AD",1,852.8
131,"BD",0.36,1363.56
132,"AB",0.2,1344.66
132,"CD",0.84,1534.1
132,"CA",0.28,1372
132,"CB",0.44,1616.12
132,"AD",0.76,1893.32
132,"BD",0.72,1133.04
